Computer,TimeGenerated [UTC],EventId,SubType,ClientIP,Name,Result,Message,TaskCategory,QueryType,ResultCode,MaliciousIP,IndicatorThreatType,Description,Confidence,Severity,ReportReferenceLink,RemoteIPLongitude,RemoteIPLatitude,RemoteIPCountry,Type,_ResourceId
USDC01.tyrellcorp.us,"2/3/2022, 7:41:45.227 AM",257,LookupQuery,192.168.59.62,ap.lijit.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:45.225 AM",257,LookupQuery,192.168.59.62,bidder.criteo.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:43.896 AM",257,LookupQuery,192.168.32.9,www.tuya.com.co,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:41.398 AM",257,LookupQuery,192.168.17.0,x1.c.lencr.org,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:41.398 AM",257,LookupQuery,192.168.17.0,x1.c.lencr.org,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:32.961 AM",257,LookupQuery,192.168.16.102,omnitruck.cinc.sh,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:31.640 AM",257,LookupQuery,192.168.59.72,api.1plus1.video,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:31.231 AM",257,LookupQuery,192.168.32.9,cmedimage.ddns.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:31.038 AM",257,LookupQuery,192.168.59.59,everywhere.avid.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:30.580 AM",257,LookupQuery,192.168.49.47,rtb.adxpremium.services,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.980 AM",257,LookupQuery,192.168.59.73,deff.nelreports.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.980 AM",257,LookupQuery,192.168.59.73,deff.nelreports.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.914 AM",257,LookupQuery,192.168.59.72,metadata.google.internal,,,,A,3,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.914 AM",257,LookupQuery,192.168.59.72,metadata.google.internal,,,,AAAA,3,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.905 AM",257,LookupQuery,192.168.59.64,metadata.google.internal,,,,A,3,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.905 AM",257,LookupQuery,192.168.59.64,metadata.google.internal,,,,AAAA,3,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.885 AM",257,LookupQuery,192.168.57.62,metadata.google.internal,,,,A,3,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.885 AM",257,LookupQuery,192.168.57.62,metadata.google.internal,,,,AAAA,3,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.778 AM",257,LookupQuery,192.168.224.42,deff.nelreports.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.778 AM",257,LookupQuery,192.168.224.42,deff.nelreports.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.117 AM",257,LookupQuery,192.168.57.65,edigitalsurvey.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:29.076 AM",257,LookupQuery,192.168.57.65,edigitalsurvey.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.564 AM",257,LookupQuery,192.168.57.65,ssc.api.bbc.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.537 AM",257,LookupQuery,192.168.57.65,tags.crwdcntrl.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.496 AM",257,LookupQuery,192.168.57.65,ssc.api.bbc.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.468 AM",257,LookupQuery,192.168.57.65,tags.crwdcntrl.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.465 AM",257,LookupQuery,192.168.57.65,bbc.gscontxt.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.458 AM",257,LookupQuery,192.168.57.65,ad.crwdcntrl.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.450 AM",257,LookupQuery,192.168.57.65,me-cdn.effectivemeasure.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.449 AM",257,LookupQuery,192.168.57.65,me-cdn.effectivemeasure.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.443 AM",257,LookupQuery,192.168.57.65,static.chartbeat.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.432 AM",257,LookupQuery,192.168.57.65,static.chartbeat.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.422 AM",257,LookupQuery,192.168.57.65,cdn.optimizely.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.413 AM",257,LookupQuery,192.168.57.65,bbc.gscontxt.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.413 AM",257,LookupQuery,192.168.57.65,cdn.optimizely.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.397 AM",257,LookupQuery,192.168.57.65,ad.crwdcntrl.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.057 AM",257,LookupQuery,192.168.57.65,gn-flagpoles.api.bbci.co.uk,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:28.043 AM",257,LookupQuery,192.168.57.65,gn-flagpoles.api.bbci.co.uk,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.958 AM",257,LookupQuery,192.168.57.65,www.bbc.co.uk,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.927 AM",257,LookupQuery,192.168.57.65,www.bbc.co.uk,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.866 AM",257,LookupQuery,192.168.57.65,ichef.bbci.co.uk,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.866 AM",257,LookupQuery,192.168.57.65,ichef.bbci.co.uk,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.692 AM",257,LookupQuery,192.168.57.65,gn-web-assets.api.bbc.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.689 AM",257,LookupQuery,192.168.57.65,gn-web-assets.api.bbc.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.683 AM",257,LookupQuery,192.168.57.65,www.bbc.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.652 AM",257,LookupQuery,192.168.57.65,www.bbc.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.644 AM",257,LookupQuery,192.168.57.65,static.files.bbci.co.uk,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.634 AM",257,LookupQuery,192.168.57.65,static.files.bbci.co.uk,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.633 AM",257,LookupQuery,192.168.57.65,a1.api.bbc.co.uk,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:27.579 AM",257,LookupQuery,192.168.57.65,a1.api.bbc.co.uk,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.481 AM",257,LookupQuery,192.168.57.65,ag.gbc.criteo.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.466 AM",257,LookupQuery,192.168.57.65,dnacdn.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.447 AM",257,LookupQuery,192.168.57.65,ag.gbc.criteo.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.447 AM",257,LookupQuery,192.168.57.65,gem.gbc.criteo.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.447 AM",257,LookupQuery,192.168.57.65,gem.gbc.criteo.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.445 AM",257,LookupQuery,192.168.57.65,dnacdn.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.232 AM",257,LookupQuery,192.168.57.65,t.trafmag.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:26.232 AM",257,LookupQuery,192.168.57.65,t.trafmag.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:25.066 AM",257,LookupQuery,192.168.51.49,static-asm.secure.skypeassets.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:25.066 AM",257,LookupQuery,192.168.51.49,static-asm.secure.skypeassets.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:24.642 AM",257,LookupQuery,192.168.59.72,ssp-sync.criteo.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:24.626 AM",257,LookupQuery,192.168.59.59,status.avid.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:24.591 AM",257,LookupQuery,192.168.59.59,status.avid.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:24.522 AM",257,LookupQuery,192.168.59.72,rtb.adxpremium.services,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:24.511 AM",257,LookupQuery,192.168.59.72,bidder.criteo.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:24.156 AM",257,LookupQuery,192.168.57.65,img-s-msn-com.akamaized.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:24.156 AM",257,LookupQuery,192.168.57.65,img-s-msn-com.akamaized.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:41:23.799 AM",257,LookupQuery,192.168.59.73,img-s-msn-com.akamaized.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
